Address,Latitude,Longitude,Neighborhood,Created_At,Property_Type,Style,Year_Built,Square_Footage,Bedrooms,Bathrooms,Lot_Size,Price,Property_Tax,HOA_Fees,Parking_Spaces,Heating,Cooling,Appliances,Features,School_District,Walk_Score,Transit_Score,Last_Sold_Date,Last_Sold_Price,Estimated_Monthly_Payment
12440 Alderglen St Moorpark CA 93021,34.267594,-118.8745,,,,,,,,,,,,,,,,,,,,,,
123 Main St San Francisco CA 94102,37.7749,-122.4194,,,,,,,,,,,,,,,,,,,,,,
456 Market St San Francisco CA 94105,37.7849,-122.4094,,,,,,,,,,,,,,,,,,,,,,
789 Mission St San Francisco CA 94103,37.7649,-122.4094,,,,,,,,,,,,,,,,,,,,,,
321 Castro St San Francisco CA 94114,37.7549,-122.4394,,,,,,,,,,,,,,,,,,,,,,
654 Haight St San Francisco CA 94117,37.7699,-122.4494,,,,,,,,,,,,,,,,,,,,,,
987 Pacific Ave San Francisco CA 94133,37.7999,-122.4094,,,,,,,,,,,,,,,,,,,,,,
147 Marina Blvd San Francisco CA 94123,37.8099,-122.4394,,,,,,,,,,,,,,,,,,,,,,
258 Fillmore St San Francisco CA 94117,37.7699,-122.4294,,,,,,,,,,,,,,,,,,,,,,
369 Noe St San Francisco CA 94114,37.7549,-122.4294,,,,,,,,,,,,,,,,,,,,,,
741 Dolores St San Francisco CA 94110,37.7449,-122.4194,,,,,,,,,,,,,,,,,,,,,,
1234 Valencia St San Francisco CA 94110,37.7499,-122.4194,,,,,,,,,,,,,,,,,,,,,,
567 24th St San Francisco CA 94110,37.7529,-122.4094,,,,,,,,,,,,,,,,,,,,,,
890 Church St San Francisco CA 94114,37.7569,-122.4294,,,,,,,,,,,,,,,,,,,,,,
2345 Irving St San Francisco CA 94122,37.7639,-122.4794,,,,,,,,,,,,,,,,,,,,,,
678 9th Ave San Francisco CA 94118,37.7739,-122.4694,,,,,,,,,,,,,,,,,,,,,,
901 Geary Blvd San Francisco CA 94109,37.7839,-122.4194,,,,,,,,,,,,,,,,,,,,,,
3456 California St San Francisco CA 94118,37.7889,-122.4294,,,,,,,,,,,,,,,,,,,,,,
7890 Sacramento St San Francisco CA 94118,37.7939,-122.4394,,,,,,,,,,,,,,,,,,,,,,
1234 Jackson St San Francisco CA 94111,37.7989,-122.4094,,,,,,,,,,,,,,,,,,,,,,
